"accession","target_name","tlen","query_name","query_accession","qlen","E.value","score...8","bias...9","X.","of","c.Evalue","i.Evalue","score...14","bias...15","hmm_from","hmm_to","ali_from","ali_to","env_from","env_to","acc","description","query_name_clean","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","origin"
"PF02226","Pico_P1A",68,"DTR_482361_12","-",312,0.11,12.8,0.2,1,2,0.00038,2.6,8.4,0.1,11,38,67,94,60,105,0.86,"Picornavirus coat protein (VP4)","DTR_482361","CIBIO",8605,141,1,0,0,11,"Host_Associated","Human","Gut","NULL","viral_origin"
"PF02226","Pico_P1A",68,"DTR_851643_12","-",312,0.11,12.8,0.2,2,2,0.042,290,1.8,0,8,28,132,152,127,154,0.86,"Picornavirus coat protein (VP4)","DTR_851643","HGM",8605,141,1,0,0,11,"Host_Associated","Human","Gut","NULL","viral_origin"
"PF02226","Pico_P1A",68,"DTR_133317_6","-",64,0.049,13.9,0,1,1,2.8e-06,0.057,13.7,0,29,55,33,59,20,62,0.89,"Picornavirus coat protein (VP4)","DTR_133317","IMG/M",10337,123,2,0,0,13,"Terrestrial","Soil",NA,"NULL","viral_origin"
"PF02336","Denso_VP4",452,"DTR_636293_1","-",428,0.21,10.5,0,1,1,6.1e-05,0.32,10,0,113,155,367,409,356,413,0.86,"Capsid protein VP4","DTR_636293","MGnify",17396,35,3,0,0,19,"Host_Associated","Human","Gut","GCA_001308795.2","viral_origin"
"PF02956","TT_ORF1",525,"DTR_302905_6","-",337,0.15,10.9,4.1,1,1,3.1e-05,0.21,10.4,4.1,11,82,165,239,161,256,0.57,"TT viral orf 1","DTR_302905","IMG/M",13212,81,4,0,0,20,"Terrestrial","Soil",NA,"NULL","viral_origin"
"PF02956","TT_ORF1",525,"DTR_294138_6","-",337,0.15,10.9,4.1,1,1,3.1e-05,0.21,10.4,4.1,11,82,165,239,161,256,0.57,"TT viral orf 1","DTR_294138","IMG/M",13212,81,4,0,0,20,"Host_Associated","Plants","Rhizosphere","NULL","viral_origin"
"PF02956","TT_ORF1",525,"DTR_293449_6","-",337,0.15,10.9,4.1,1,1,3.1e-05,0.21,10.4,4.1,11,82,165,239,161,256,0.57,"TT viral orf 1","DTR_293449","IMG/M",13212,81,4,0,0,20,"Host_Associated","Plants","Rhizoplane","NULL","viral_origin"
"PF02956","TT_ORF1",525,"DTR_331513_3","-",184,4.2,6.1,8,1,1,0.00054,5.6,5.7,8,24,69,5,46,2,60,0.47,"TT viral orf 1","DTR_331513","IMG/M",10355,127,1,0,0,22,"Terrestrial","Deep subsurface",NA,"NULL","viral_origin"
"PF02956","TT_ORF1",525,"DTR_264223_11","-",189,0.046,12.6,1.8,1,1,2.5e-06,0.053,12.4,1.8,28,72,3,43,1,75,0.66,"TT viral orf 1","DTR_264223","IMG/M",9396,127,3,0,0,16,"Aquatic","Freshwater","River","NULL","viral_origin"
"PF02956","TT_ORF1",525,"DTR_051276_4","-",147,0.29,9.9,6.7,1,1,1.6e-05,0.34,9.8,6.7,11,76,14,79,9,94,0.51,"TT viral orf 1","DTR_051276","IMG/M",5203,80,1,0,0,9,"Aquatic","Marine","Oceanic","NULL","viral_origin"
"PF03014","SP2",205,"DTR_251018_6","-",388,0.081,12.8,0,1,1,1.2e-05,0.13,12.1,0,52,105,256,311,246,317,0.79,"Structural protein 2 nucleoplasmin-like domain","DTR_251018","IMG/M",11254,127,0,0,1,14,"Aquatic","Marine","Coastal","NULL","viral_origin"
"PF03014","SP2",205,"DTR_283963_11","-",388,0.081,12.8,0,1,1,1.2e-05,0.13,12.1,0,52,105,256,311,246,317,0.79,"Structural protein 2 nucleoplasmin-like domain","DTR_283963","IMG/M",11254,127,0,0,1,14,"Aquatic","Marine","Coastal","NULL","viral_origin"
"PF03014","SP2",205,"DTR_087117_12","-",388,0.081,12.8,0,1,1,1.2e-05,0.13,12.1,0,52,105,256,311,246,317,0.79,"Structural protein 2 nucleoplasmin-like domain","DTR_087117","IMG/M",11250,123,0,0,1,14,"Aquatic","Marine","Coastal","NULL","viral_origin"
"PF03367","zf-ZPR1",162,"DTR_886435_17","-",128,0.54,10.2,4,2,2,0.0012,0.74,9.8,0.5,2,39,83,126,82,127,0.69,"ZPR1 zinc-finger domain","DTR_886435","HuVirDB",12060,55,1,0,1,17,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF03367","zf-ZPR1",162,"DTR_886435_17","-",128,0.54,10.2,4,1,2,0.39,250,1.6,0.2,2,37,14,47,13,70,0.63,"ZPR1 zinc-finger domain","DTR_886435","HuVirDB",12060,55,1,0,1,17,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF03367","zf-ZPR1",162,"DTR_891680_12","-",108,0.032,14.2,1.1,1,1,3.8e-06,0.039,13.9,1.1,61,114,11,63,2,105,0.71,"ZPR1 zinc-finger domain","DTR_891680","GOV2",10915,1882,0,0,0,16,"Aquatic","Marine",NA,"NULL","non_viral_origin"
"PF03367","zf-ZPR1",162,"DTR_077758_5","-",108,0.032,14.2,1.1,1,1,3.8e-06,0.039,13.9,1.1,61,114,11,63,2,105,0.71,"ZPR1 zinc-finger domain","DTR_077758","IMG/M",9157,123,0,0,0,13,"Aquatic","Marine","Coastal","NULL","non_viral_origin"
"PF03367","zf-ZPR1",162,"DTR_573911_3","-",64,0.078,13,1.3,1,1,2.1e-05,0.089,12.8,1.3,2,43,21,62,20,63,0.89,"ZPR1 zinc-finger domain","DTR_573911","MGnify",7323,55,1,0,0,11,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF03391","Nepo_coat",167,"DTR_024606_22","-",100,0.015,15,0.6,1,1,1.5e-06,0.015,14.9,0.6,42,82,19,59,4,88,0.86,"Nepovirus coat protein, central domain","DTR_024606","IMG/M",13367,92,2,0,0,20,"Terrestrial","Soil","Loam","NULL","viral_origin"
"PF03566","Peptidase_A21",653,"DTR_065538_8","-",116,0.069,11.6,1.4,1,1,6.3e-06,0.065,11.7,1.4,365,419,9,62,1,98,0.88,"Peptidase family A21","DTR_065538","IMG/M",16958,100,8,0,0,22,"Terrestrial","Deep subsurface",NA,"NULL","non_viral_origin"
"PF03633","Glyco_hydro_65C",62,"DTR_748778_5","-",62,0.15,12,0,1,1,9.5e-06,0.2,11.6,0,18,49,11,42,9,53,0.8,"Glycosyl hydrolase family 65, C-terminal domain","DTR_748778","HGM",4619,26,2,0,0,10,"Host_Associated","Human","Gut","GCA_002756075.1","non_viral_origin"
"PF03678","Adeno_hexon_C",241,"DTR_009104_12","-",109,0.025,14.2,0,1,1,1.5e-06,0.032,13.9,0,121,152,6,37,1,45,0.86,"Hexon, adenovirus major coat protein, C-terminal domain","DTR_009104","IMG/M",14358,101,4,0,0,13,"Aquatic","Non_marine saline","Hypersaline","NULL","viral_origin"
"PF03678","Adeno_hexon_C",241,"DTR_008904_12","-",109,0.025,14.2,0,1,1,1.5e-06,0.032,13.9,0,121,152,6,37,1,45,0.86,"Hexon, adenovirus major coat protein, C-terminal domain","DTR_008904","IMG/M",14358,101,4,0,0,13,"Aquatic","Non_marine saline","Hypersaline","NULL","viral_origin"
"PF03678","Adeno_hexon_C",241,"DTR_011528_13","-",109,0.025,14.2,0,1,1,1.5e-06,0.032,13.9,0,121,152,6,37,1,45,0.86,"Hexon, adenovirus major coat protein, C-terminal domain","DTR_011528","IMG/M",14358,101,4,0,0,13,"Aquatic","Non_marine saline","Hypersaline","NULL","viral_origin"
"PF03689","Nepo_coat_N",91,"DTR_233894_20","-",428,0.097,12.8,0.1,1,3,0.041,140,2.7,0,22,47,74,99,66,108,0.83,"Nepovirus coat protein, N-terminal domain","DTR_233894","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL","viral_origin"
"PF03689","Nepo_coat_N",91,"DTR_233894_20","-",428,0.097,12.8,0.1,2,3,0.0021,7.3,6.8,0,55,84,295,325,289,330,0.85,"Nepovirus coat protein, N-terminal domain","DTR_233894","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL","viral_origin"
"PF03689","Nepo_coat_N",91,"DTR_233894_20","-",428,0.097,12.8,0.1,3,3,1.9,6700,-2.7,0,52,87,338,373,337,375,0.79,"Nepovirus coat protein, N-terminal domain","DTR_233894","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL","viral_origin"
"PF05118","Asp_Arg_Hydrox",157,"DTR_073934_17","-",302,0.11,12.6,0,1,1,2.2e-05,0.23,11.5,0,116,140,273,297,268,300,0.88,"Aspartyl/Asparaginyl beta-hydroxylase","DTR_073934","IMG/M",11887,123,4,0,0,19,"Aquatic","Marine","Oceanic","NULL","non_viral_origin"
"PF05118","Asp_Arg_Hydrox",157,"DTR_233705_3","-",161,0.12,12.4,0,1,1,1.6e-05,0.17,11.9,0,77,111,56,90,43,107,0.8,"Aspartyl/Asparaginyl beta-hydroxylase","DTR_233705","IMG/M",16157,99,8,0,0,16,"Aquatic","Freshwater","Lentic","NULL","non_viral_origin"
"PF05118","Asp_Arg_Hydrox",157,"DTR_329201_16","-",302,0.13,12.3,0,1,1,1.4e-05,0.28,11.2,0,116,140,273,297,269,300,0.91,"Aspartyl/Asparaginyl beta-hydroxylase","DTR_329201","IMG/M",11860,99,3,0,0,18,"Aquatic","Marine","Oceanic","NULL","non_viral_origin"
"PF05373","Pro_3_hydrox_C",101,"DTR_848892_14","-",108,0.055,13.9,0.2,1,1,8.2e-06,0.085,13.3,0.2,64,99,63,99,56,101,0.84,"L-proline 3-hydroxylase, C-terminal","DTR_848892","HGM",10640,119,2,0,0,12,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05373","Pro_3_hydrox_C",101,"DTR_672309_10","-",108,0.055,13.9,0.2,1,1,8.2e-06,0.085,13.3,0.2,64,99,63,99,56,101,0.84,"L-proline 3-hydroxylase, C-terminal","DTR_672309","MGnify",10576,55,2,0,0,12,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05373","Pro_3_hydrox_C",101,"DTR_486120_8","-",108,0.055,13.9,0.2,1,1,8.2e-06,0.085,13.3,0.2,64,99,63,99,56,101,0.84,"L-proline 3-hydroxylase, C-terminal","DTR_486120","CIBIO",10576,55,2,0,0,12,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05737","Collagen_bind",131,"DTR_527788_9","-",290,0.029,14.8,0.2,1,1,2.2e-05,0.056,13.8,0.2,29,69,160,200,158,222,0.8,"Collagen binding domain","DTR_527788","CIBIO",11388,88,3,0,0,14,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05737","Collagen_bind",131,"DTR_883245_21","-",249,0.047,14.1,0.8,1,1,1.6e-05,0.16,12.3,0.8,22,126,106,222,99,227,0.7,"Collagen binding domain","DTR_883245","HGM",12341,99,4,1,0,18,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05737","Collagen_bind",131,"DTR_520055_9","-",290,0.029,14.8,0.2,1,1,2.2e-05,0.056,13.8,0.2,29,69,160,200,158,222,0.8,"Collagen binding domain","DTR_520055","CIBIO",11388,88,3,0,0,14,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05737","Collagen_bind",131,"DTR_474063_21","-",249,0.047,14.1,0.8,1,1,1.6e-05,0.16,12.3,0.8,22,126,106,222,99,227,0.7,"Collagen binding domain","DTR_474063","CIBIO",12297,55,4,1,0,17,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304255_6","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304255","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304195_10","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304195","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_309421_3","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_309421","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304255_6","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304255","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311022_11","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_311022","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308737_2","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_308737","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304278_10","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304278","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304195_10","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304195","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311022_11","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_311022","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_305761_10","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_305761","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_309421_3","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_309421","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_315534_32","-",126,0.041,13.8,0.1,2,2,0.022,230,1.8,0,29,41,110,122,83,123,0.72,"EutQ-like cupin domain","DTR_315534","IMG/M",18494,99,11,0,0,25,"Aquatic","Freshwater","Lentic","NULL","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_315534_32","-",126,0.041,13.8,0.1,1,2,5.9e-05,0.61,10,0,26,62,5,41,1,57,0.86,"EutQ-like cupin domain","DTR_315534","IMG/M",18494,99,11,0,0,25,"Aquatic","Freshwater","Lentic","NULL","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304255_6","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304255","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308681_10","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_308681","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304125_15","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304125","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304125_15","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304125","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304161_16","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304161","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304195_10","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304195","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304161_16","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304161","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304125_15","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304125","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_305761_10","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_305761","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304214_2","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304214","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_305761_10","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_305761","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308737_2","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_308737","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308681_10","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_308681","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_309421_3","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_309421","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_009823_2","-",175,0.11,12.3,0.2,1,2,0.95,2000,-1.2,0,33,57,49,72,47,75,0.74,"EutQ-like cupin domain","DTR_009823","IMG/M",9969,77,3,0,0,14,"Aquatic","Non_marine saline","Alkaline","NULL","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308681_10","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_308681","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304161_16","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304161","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311022_11","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_311022","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311102_9","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_311102","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304214_2","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304214","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304214_2","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_304214","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311102_9","-",387,0.003,17.4,0.2,3,3,0.01,52,3.8,0,31,56,190,213,187,225,0.83,"EutQ-like cupin domain","DTR_311102","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304278_10","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_304278","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_684083_20","-",205,0.015,15.2,0.1,1,2,0.14,2900,-1.8,0,13,22,21,30,15,36,0.77,"EutQ-like cupin domain","DTR_684083","MGnify",16088,77,6,1,0,16,"Host_Associated","Human","Gut","GCA_002745635.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_308737_2","-",387,0.003,17.4,0.2,2,3,0.022,110,2.7,0,28,58,79,109,76,117,0.84,"EutQ-like cupin domain","DTR_308737","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_009823_2","-",175,0.11,12.3,0.2,2,2,0.00019,0.39,10.6,0,32,54,90,112,76,124,0.86,"EutQ-like cupin domain","DTR_009823","IMG/M",9969,77,3,0,0,14,"Aquatic","Non_marine saline","Alkaline","NULL","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_684083_20","-",205,0.015,15.2,0.1,2,2,3.1e-06,0.065,13.1,0,42,68,158,185,147,189,0.85,"EutQ-like cupin domain","DTR_684083","MGnify",16088,77,6,1,0,16,"Host_Associated","Human","Gut","GCA_002745635.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_311102_9","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_311102","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF05899","Cupin_3",74,"DTR_304278_10","-",387,0.003,17.4,0.2,1,3,0.00043,2.2,8.2,0,28,66,47,82,26,85,0.82,"EutQ-like cupin domain","DTR_304278","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_183486_4","-",446,0.034,14.1,2.8,2,2,0.13,680,0,0.1,64,130,324,385,312,393,0.59,"Clostridium neurotoxin, N-terminal receptor binding","DTR_183486","IMG/M",11173,123,2,0,0,16,"Engineered","Solid waste","Landfill","NULL","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_183901_12","-",333,0.061,13.2,0.7,1,2,0.043,230,1.6,0,53,70,63,80,52,87,0.79,"Clostridium neurotoxin, N-terminal receptor binding","DTR_183901","IMG/M",12239,123,4,0,0,22,"Aquatic","Freshwater","Groundwater","NULL","non_viral_origin"
