"X","accession","target_name","query_name_clean","description","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","T_number","origin_genes","description_clean","classification","origin","functional_category"
47,"PF09113","N-glycanase_C","DTR_834058","Peptide-N-glycosidase F, C terminal","HGM",17224,45,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
48,"PF09113","N-glycanase_C","DTR_834058","Peptide-N-glycosidase F, C terminal","HGM",17224,45,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
49,"PF13157","Enas","DTR_270354","Endospore appendages","IMG/M",15430,72,1,0,0,17,"Aquatic","Marine","Oceanic","NULL",4,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
50,"PF00688","TGFb_propeptide","DTR_249382","TGF-beta propeptide","IMG/M",15316,42,1,0,0,22,"Engineered","Bioreactor","Anaerobic","NULL",4,"viral","tgf beta propeptide","Unknown","Eukaryotic","Signaling Protein"
51,"PF18666","CBM64","DTR_095461","Carbohydrate-binding module 64","IMG/M",9994,99,3,0,0,6,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
52,"PF18666","CBM64","DTR_095461","Carbohydrate-binding module 64","IMG/M",9994,99,3,0,0,6,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
53,"PF18666","CBM64","DTR_095461","Carbohydrate-binding module 64","IMG/M",9994,99,3,0,0,6,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
54,"PF18628","P2_N","DTR_265858","Viral coat protein P2 N-terminal domain","IMG/M",10276,127,4,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
55,"PF18628","P2_N","DTR_265858","Viral coat protein P2 N-terminal domain","IMG/M",10276,127,4,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
56,"PF09113","N-glycanase_C","DTR_749646","Peptide-N-glycosidase F, C terminal","HGM",17223,73,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
57,"PF09113","N-glycanase_C","DTR_749646","Peptide-N-glycosidase F, C terminal","HGM",17223,73,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
58,"PF18666","CBM64","DTR_826735","Carbohydrate-binding module 64","HGM",9866,99,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
59,"PF18666","CBM64","DTR_826735","Carbohydrate-binding module 64","HGM",9866,99,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
60,"PF18666","CBM64","DTR_826735","Carbohydrate-binding module 64","HGM",9866,99,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
61,"PF09113","N-glycanase_C","DTR_432888","Peptide-N-glycosidase F, C terminal","CIBIO",17177,25,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
62,"PF09113","N-glycanase_C","DTR_432888","Peptide-N-glycosidase F, C terminal","CIBIO",17177,25,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
63,"PF09113","N-glycanase_C","DTR_791673","Peptide-N-glycosidase F, C terminal","HGM",17228,76,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
64,"PF09113","N-glycanase_C","DTR_791673","Peptide-N-glycosidase F, C terminal","HGM",17228,76,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
65,"PF03689","Nepo_coat_N","DTR_233894","Nepovirus coat protein, N-terminal domain","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL",4,"viral","nepovirus coat protein, n terminal domain","Viral","Viral","Capsid Protein"
66,"PF03689","Nepo_coat_N","DTR_233894","Nepovirus coat protein, N-terminal domain","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL",4,"viral","nepovirus coat protein, n terminal domain","Viral","Viral","Capsid Protein"
67,"PF03689","Nepo_coat_N","DTR_233894","Nepovirus coat protein, N-terminal domain","IMG/M",17614,99,6,0,0,22,"Aquatic","Freshwater","Lentic","NULL",4,"viral","nepovirus coat protein, n terminal domain","Viral","Viral","Capsid Protein"
68,"PF03014","SP2","DTR_283963","Structural protein 2 nucleoplasmin-like domain","IMG/M",11254,127,0,0,1,14,"Aquatic","Marine","Coastal","NULL",3,"non_viral","structural protein 2 nucleoplasmin like domain","Unknown","Unknown","Structural Protein"
69,"PF18573","BclA_C","DTR_890593","BclA C-terminal domain","GOV2",19682,25,2,0,0,26,"Aquatic","Marine",NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
70,"PF03633","Glyco_hydro_65C","DTR_748778","Glycosyl hydrolase family 65, C-terminal domain","HGM",4619,26,2,0,0,10,"Host-Associated","Human","Gut","GCA_002756075.1",1,"viral","glycosyl hydrolase family 65, c terminal domain","Functional","Varies (Prok/Euk)","Enzyme"
71,"PF09113","N-glycanase_C","DTR_549652","Peptide-N-glycosidase F, C terminal","CIBIO",17208,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
72,"PF09113","N-glycanase_C","DTR_549652","Peptide-N-glycosidase F, C terminal","CIBIO",17208,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
73,"PF18573","BclA_C","DTR_349085","BclA C-terminal domain","IMG/M",16991,120,5,0,0,16,"Terrestrial","Soil",NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
74,"PF18573","BclA_C","DTR_349085","BclA C-terminal domain","IMG/M",16991,120,5,0,0,16,"Terrestrial","Soil",NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
75,"PF09113","N-glycanase_C","DTR_505834","Peptide-N-glycosidase F, C terminal","CIBIO",17175,23,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
76,"PF09113","N-glycanase_C","DTR_505834","Peptide-N-glycosidase F, C terminal","CIBIO",17175,23,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
77,"PF09113","N-glycanase_C","DTR_856558","Peptide-N-glycosidase F, C terminal","HGM",17204,43,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
78,"PF09113","N-glycanase_C","DTR_856558","Peptide-N-glycosidase F, C terminal","HGM",17204,43,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
79,"PF05899","Cupin_3","DTR_311102","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
80,"PF05899","Cupin_3","DTR_311102","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
81,"PF05899","Cupin_3","DTR_311102","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
82,"PF17991","Thioredoxin_10","DTR_405054","Thioredoxin like C-terminal domain","CIBIO",16465,55,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
83,"PF17991","Thioredoxin_10","DTR_405054","Thioredoxin like C-terminal domain","CIBIO",16465,55,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
84,"PF05899","Cupin_3","DTR_309421","EutQ-like cupin domain","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
85,"PF05899","Cupin_3","DTR_309421","EutQ-like cupin domain","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
86,"PF05899","Cupin_3","DTR_309421","EutQ-like cupin domain","IMG/M",15070,74,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
87,"PF18425","CspB_prodomain","DTR_330329","Csp protease B prodomain","IMG/M",19735,120,8,0,0,16,"Aquatic","Freshwater","Lake","NULL",4,"viral","csp protease b prodomain","Unknown","Prokaryotic","Other"
88,"PF18425","CspB_prodomain","DTR_330329","Csp protease B prodomain","IMG/M",19735,120,8,0,0,16,"Aquatic","Freshwater","Lake","NULL",4,"viral","csp protease b prodomain","Unknown","Prokaryotic","Other"
89,"PF09113","N-glycanase_C","DTR_826040","Peptide-N-glycosidase F, C terminal","HGM",17245,93,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
90,"PF09113","N-glycanase_C","DTR_826040","Peptide-N-glycosidase F, C terminal","HGM",17245,93,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
91,"PF07953","Toxin_R_bind_N","DTR_183486","Clostridium neurotoxin, N-terminal receptor binding","IMG/M",11173,123,2,0,0,16,"Engineered","Solid waste","Landfill","NULL",3,"viral","clostridium neurotoxin, n terminal receptor binding","Unknown","Prokaryotic","Binding Protein"
92,"PF07953","Toxin_R_bind_N","DTR_183486","Clostridium neurotoxin, N-terminal receptor binding","IMG/M",11173,123,2,0,0,16,"Engineered","Solid waste","Landfill","NULL",3,"viral","clostridium neurotoxin, n terminal receptor binding","Unknown","Prokaryotic","Binding Protein"
93,"PF18666","CBM64","DTR_520520","Carbohydrate-binding module 64","CIBIO",9671,119,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
94,"PF18666","CBM64","DTR_520520","Carbohydrate-binding module 64","CIBIO",9671,119,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
95,"PF18666","CBM64","DTR_520520","Carbohydrate-binding module 64","CIBIO",9671,119,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
96,"PF09113","N-glycanase_C","DTR_761161","Peptide-N-glycosidase F, C terminal","HGM",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
97,"PF09113","N-glycanase_C","DTR_761161","Peptide-N-glycosidase F, C terminal","HGM",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
98,"PF09113","N-glycanase_C","DTR_797722","Peptide-N-glycosidase F, C terminal","HGM",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
99,"PF09113","N-glycanase_C","DTR_797722","Peptide-N-glycosidase F, C terminal","HGM",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
100,"PF02956","TT_ORF1","DTR_302905","TT viral orf 1","IMG/M",13212,81,4,0,0,20,"Terrestrial","Soil",NA,"NULL",3,"viral","tt viral orf 1","Viral","Viral","Other"
101,"PF09113","N-glycanase_C","DTR_842970","Peptide-N-glycosidase F, C terminal","HGM",17288,136,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
102,"PF09113","N-glycanase_C","DTR_842970","Peptide-N-glycosidase F, C terminal","HGM",17288,136,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
103,"PF05737","Collagen_bind","DTR_883245","Collagen binding domain","HGM",12341,99,4,1,0,18,"Host-Associated","Human","Gut","NULL",3,"viral","collagen binding domain","Unknown","Varies (Prok/Euk)","Binding Protein"
104,"PF05373","Pro_3_hydrox_C","DTR_848892","L-proline 3-hydroxylase, C-terminal","HGM",10640,119,2,0,0,12,"Host-Associated","Human","Gut","NULL",3,"viral","l proline 3 hydroxylase, c terminal","Unknown","Varies (Prok/Euk)","Other"
105,"PF09113","N-glycanase_C","DTR_837267","Peptide-N-glycosidase F, C terminal","HGM",17268,89,3,0,0,14,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
106,"PF09113","N-glycanase_C","DTR_837267","Peptide-N-glycosidase F, C terminal","HGM",17268,89,3,0,0,14,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
107,"PF09113","N-glycanase_C","DTR_834473","Peptide-N-glycosidase F, C terminal","HGM",17245,93,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
108,"PF09113","N-glycanase_C","DTR_834473","Peptide-N-glycosidase F, C terminal","HGM",17245,93,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
109,"PF18573","BclA_C","DTR_286245","BclA C-terminal domain","IMG/M",14861,127,7,0,0,7,"Engineered","Wastewater","Anaerobic digestor","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
110,"PF18666","CBM64","DTR_374699","Carbohydrate-binding module 64","CIBIO",10318,119,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
111,"PF18666","CBM64","DTR_374699","Carbohydrate-binding module 64","CIBIO",10318,119,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
112,"PF18666","CBM64","DTR_374699","Carbohydrate-binding module 64","CIBIO",10318,119,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
