Accession	Name	Description	Source Database
NF045579	alpha-L rhamnosidase C-terminal-like jelly roll fold domain	A crystalized member of this family, the alpha-L rhamnosidase PDB:6q2f from Novosphingobium sp. PP1Y, is a GH106 family hydrolase that cleaves alpha 1,6 and alpha 1,2 glycosidic bonds of L-rhamnose from a variety of flavonoid compounds. This domain usually is found near the protein C-terminus, but in a few proteins, such as WP_277638425.1 and WP_203558404.1, it is located N-terminally. The coverage of this domain HMM overlaps with that of PF02837, but the seed alignment sequences of the two models are quite different.	NCBIFAM
PF23618	Bacteriophage T4 gp9/10-like protein, C-terminal	This entry represents the C-terminal domain of Baseplate protein gp9 from Bacteriophage T4, a component of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains. The C-terminal domain is thought to be essential for trimerisation and is organised into an eight- stranded antiparallel beta-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	PFAM
G3DSA:2.60.120.890	BT2081, beta-jelly-roll domain		CATHGENE3D
IPR005597	Satellite tobacco necrosis virus coat protein-like	"This entry represents the virus coat protein found in satellite tobacco necrosis virus, and maize white line mosaic Satellite virus. The protein contains a ""jelly-roll"" motif. The narrow end of the jelly roll is thought to form fivefold contacts organised about a Ca2+ ion [[cite:PUB00007874]]."	INTERPRO
PF07880	Bacteriophage T4 gp9/10-like protein	The members of this family are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 (Swiss:P10927) connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains.  The N-terminal domain consists of an extended polypeptide chain and two alpha helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded beta-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight- stranded antiparallel beta-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 (Swiss:P10928) initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	PFAM
IPR008987	Baseplate structural protein Gp9/Gp10	The members of this family are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains. The N-terminal domain consists of an extended polypeptide chain and two α helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded β-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight-stranded antiparallel β-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]]. This entry represents the N-terminal domain of Gp10, that in Gp9 covers the full length.	INTERPRO
IPR036240	Gp9-like superfamily	Members of this entry are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains.  The N-terminal domain consists of an extended polypeptide chain and two α helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded β-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight- stranded antiparallel β-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	INTERPRO
IPR025975	Polysaccharide lyase	This family includes heparin lyase I ([ec:4.2.2.7]).  Heparin lyase I depolymerises heparin by cleaving the glycosidic linkage next to an iduronic acid moiety [[cite:PUB00059171], [cite:PUB00058614]]. The structure of heparin lyase I consists of a β-jelly roll domain with a long, deep substrate-binding groove and an unusual thumb domain containing many basic residues extending from the main body of the enzyme [[cite:PUB00058614]]. This family also includes glucuronan lyase, ([ec:4.2.2.14]) [[cite:PUB00050480]]. The structure glucuronan lyase is a β-jelly roll [[cite:PUB00050479]].	INTERPRO
IPR039935	Uncharacterized protein YML079W-like	The function of this family of proteins is not known. The crystal structure of the Saccharomyces cerevisiae member, YML079w, revealed a jelly-roll fold [[cite:PUB00019370]].	INTERPRO
PF12956	Domain of Unknown Function with PDB structure	Member PDB:3GF6 has statistically significant similarity  to TNF-like jelly roll fold may indicate an immunomodulatory function[[cite:PUB00055998]] or a bioadhesion role[[cite:PUB00055999]]	PFAM
IPR028013	Protein of unknown function DUF4437	This family of proteins is found in bacteria. Proteins in this family are typically between 152 and 283 amino acids in length and have a RmlC-like jelly roll fold.	INTERPRO
PF21510	PirA-like	This family includes PirA from Vibrio parahaemolyticus. PirA is a plasmid-encoded homolog of a Photorhabdus insect-related (Pir) protein. It folds into an eight-stranded antiparallel beta-barrel with jelly-roll topology [[cite:PUB00151821]].	PFAM
IPR048982	PirA-like	This family includes PirA from Vibrio parahaemolyticus. PirA is a plasmid-encoded homologue of a Photorhabdus insect-related (Pir) protein. It folds into an eight-stranded antiparallel β-barrel with jelly-roll topology [[cite:PUB00151821]].	INTERPRO
IPR010392	Satellite virus coat	This entry represents coat proteins found in several satellite viruses, including satellite panicum mosaic virus [[cite:PUB00020147]], satellite tobacco necrosis virus, and satellite St. Augustine decline virus. The coat proteins of satellite viruses consist of a β-sandwich jelly-roll fold, with usually eight strands making up the two sheets, although some members can have an extra 1-2 strands. The characteristic interaction between the domains of this fold allows the formation of five-fold and pseudo six-fold assemblies. Although the satellite virus coat proteins share the same jelly-roll fold, they differ in the arrangement of their secondary structural elements and in the interactions of adjacent subunits [[cite:PUB00007874]].	INTERPRO
IPR024328	Protein of unknown function DUF3845	This entry represents a family of uncharacterised bacterial proteins. One member, [swissprot:Q8A8D4], shows significant structural similarity to TNF-like jelly roll fold, which may indicate an immunomodulatory function [[cite:PUB00055998]] or a bioadhesion role [[cite:PUB00055999]].	INTERPRO
PF22826	PL28 ulvan lyases	This entry represents the PL28 family of ulvan lyases. These enzymes degrade ulvan next to either epimer of uronic acid. They adopt a beta-sandwich structure with a jelly-roll topology containing a deep positively charged cleft that defines the substrate binding site [[cite:PUB00154170]].	PFAM
IPR015227	Mitogen, Yersinia pseudotuberculosis	Members of this family of Yersinia pseudotuberculosis mitogens adopt a sandwich structure consisting of nine strands in two β sheets, in a jelly-roll topology. As with other superantigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].	INTERPRO
PF21876	C381 turret protein 2nd galactose-binding domain-like	This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein second jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions.	PFAM
PF21878	C381 turret protein 1st galactose-binding domain-like	This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein first jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions [[cite:PUB00154247]].	PFAM
PF21879	C381 turret protein Nucleoplasmin-like/VP domain	This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein third jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions.	PFAM
IPR054070	C381 turret protein, middle domain	This entry represents the middle jelly roll domain of the Sulfolobus turreted icosahedral virus (STIV) turret protein. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions [[cite:PUB00154247]].	INTERPRO
PF23891	Family of unknown function (DUF7243)	This family of phage proteins adopt a structure composed of a pair of jelly roll fold domains with one nested within the other. This fold is suggestive of a phage head structural protein. Structure predictions suggest that these proteins can form pentameric or hexameric arrangements mediated by the outer of the two domains.	PFAM
IPR055667	Protein of unknown function DUF7243	This family of phage proteins adopt a structure composed of a pair of jelly roll fold domains with one nested within the other. This fold is suggestive of a phage head structural protein. Structure predictions suggest that these proteins can form pentameric or hexameric arrangements mediated by the outer of the two domains.	INTERPRO
IPR054072	C381 turret protein, N-terminal	This entry represents the N-terminal jelly roll domain of the Sulfolobus turreted icosahedral virus (STIV) turret protein. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbours two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions [[cite:PUB00154247]].	INTERPRO
IPR054073	C381 turret protein, C-terminal	This entry represents the C-termina jelly roll domain of the Sulfolobus turreted icosahedral virus (STIV) turret protein. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbours two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions [[cite:PUB00154247]].	INTERPRO
PF22825	HpiC1 cyclase	This entry represents the homologues of HpiC1, a Stig cyclase that catalyzes the formation of 12-epi-hapalindole U. This enzyme folds into a beta-sandwich with jelly-roll topology that is distantly related to galactose-binding domains. HpiC1 has two integral Ca2+ ions, each with octahedral coordination geometry. Ca2+ ions are required for catalytic activity.	PFAM
IPR048922	Bbp16	This protein family includes Bbp16 from Bordetella phage BPP-1 and similar proteins from tailed bacteriophages and prophages, mainly found in proteobacteria. Bbp16, which adopts a dimeric configuration, is essential for forming infectious phage particles. This cement protein has a jelly roll fold with two β-sheets, each consisting of four antiparallel strands [[cite:PUB00151719]].	INTERPRO
IPR054720	HpiC1 cyclase	This entry represents HpiC1, a Stig cyclase that catalyses the formation of 12-epi-hapalindole U. This enzyme folds into a β-sandwich with jelly-roll topology that is distantly related to galactose-binding domains. HpiC1 has two integral Ca2 ions, each with octahedral coordination geometry. Ca2 ions are required for catalytic activity [[cite:PUB00154015]].	INTERPRO
PF17291	N-terminal domain of M60-like peptidases	This accessory domain has a jelly roll topology.	PFAM
PF17996	Carbohydrate esterase 2 N-terminal	This is the N-terminal beta-sheet domain with jelly roll topology found in CE2 acetyl-esterase from the bacterium Clostridium thermocellum. This enzyme displays dual activities, it catalyses the deacetylation of plant polysaccharides and also potentiates the activity of its appended cellulase catalytic module through its noncatalytic cellulose binding function. This N-terminal jelly-roll domain appears to extend the substrate/cellulose binding cleft of the catalytic domain in C.thermocellum [[cite:PUB00050086]].	PFAM
PF21915	Sputnik virophage major capsid protein 1st domain	This entry represents the first jelly roll domain in the sputnik virophage major capsid protein [[cite:PUB00151820]]. Sputnik is a dsDNA virus, referred to as a virophage, that is co-assembled with Mimivirus in the host amoeba. The capsid is organized into a T = 27 lattice in which there are 260 trimeric capsomers and 12 pentameric capsomers. The trimeric capsomers consist of three double jelly-roll major capsid proteins creating pseudohexameric capsomer symmetry.	PFAM
PF21881	A223 penton protein second domain	This Pfam entry represents the Sulfolobus turreted icosahedral virus (STIV) penton protein second jelly roll domain. STIV is a virus that infects the archaeon Sulfolobus solfataricus and was isolated in acidic hot springs. The virus has a unique architecture based on a pseudo T = 31d capsid symmetry with each icosahedral asymmetric unit consisting of 15 copies of the coat subunit (B345), one copy of the A223 penton base protein, one copy of the C381 turret protein, and one copy of the A55 membrane protein. The pentameric penton base protein is a crucial component of the virus as it forms the vertices of the capsid shell and decorates the penton base structure forming the first floor of the turret. The penton protein contains three different layers, with the N termini forming a 10-stranded beta-pore, the middle layer comprising a canonical viral jelly-roll forming a pentameric ring, and the C-terminal forming a second pentameric ring of jelly-rolls. The virus shares the same coat subunit and penton base protein folds as some eukaryotic and bacterial viruses, suggesting that they derive from a common ancestor predating the divergence of the three kingdoms of life. The conservation of the A223 penton base jelly-roll fold, as well as the B345 double jelly-roll fold, strongly suggests an evolutionary connection for these protein modules among phages, archaeal viruses, and eukaryotic viruses.	PFAM
IPR040794	Carbohydrate esterase 2, N-terminal	This is the N-terminal β-sheet domain with jelly roll topology found in CE2 acetyl-esterase from the bacterium Clostridium thermocellum. This enzyme displays dual activities, it catalyses the deacetylation of plant polysaccharides and also potentiates the activity of its appended cellulase catalytic module through its noncatalytic cellulose binding function. This N-terminal jelly-roll domain appears to extend the substrate/cellulose binding cleft of the catalytic domain in C. thermocellum [[cite:PUB00050086]].	INTERPRO
IPR053889	Major capsid protein V20, N-terminal domain	This entry represents the N-terminal domain of the major capsid protein V20 from Sputnik virophage, which adopts a jelly roll fold [[cite:PUB00151820]]. Sputnik is a dsDNA virus, referred to as a virophage, that is co-assembled with Mimivirus in the host amoeba. The capsid is organized into a T = 27 lattice in which there are 260 trimeric capsomers and 12 pentameric capsomers. The trimeric capsomers consist of three double jelly-roll major capsid proteins creating pseudohexameric capsomer symmetry.	INTERPRO
PF14099	Polysaccharide lyase	This family includes heparin lyase I, EC:4.2.2.7. Heparin lyase I depolymerises heparin by cleaving the glycosidic linkage next to an iduronic acid moiety [[cite:PUB00059171],[cite:PUB00058614]]. The structure of heparin lyase I consists of a beta-jelly roll domain with a long, deep substrate-binding groove and an unusual thumb domain containing many basic residues extending from the main body of the enzyme [[cite:PUB00058614]]. This family also includes glucuronan lyase, EC:4.2.2.14 [[cite:PUB00050480]]. The structure glucuronan lyase is a beta-jelly roll [[cite:PUB00050479]].	PFAM
IPR053887	Major capsid protein V20, C-terminal domain	This is the C-terminal domain of major capsid protein V20 from Sputnik virophage. This domain folds into a β-sandwich with a jelly-roll topology [[cite:PUB00151820]]. V20 is a major capsid protein from Sputnik virophage. This is a dsDNA virus, referred to as a virophage, that is co-assembled with Mimivirus in the host amoeba. The capsid is organized into a T = 27 lattice in which there are 260 trimeric capsomers and 12 pentameric capsomers. The trimeric capsomers consist of three double jelly-roll major capsid proteins creating pseudohexameric capsomer symmetry.	INTERPRO
IPR006104	Glycosyl hydrolases family 2, sugar binding domain	Proteins containing this domain include beta-galactosidases, beta-mannosidases and beta-glucuronidases. The domain has a jelly-roll fold [[cite:PUB00004183]].	INTERPRO
IPR035423	M60-like domain, N-terminal	This accessory domain has a jelly roll topology. It is found N-terminal to the M60-like domain ([interpro:IPR031161]) [[cite:PUB00074821]].	INTERPRO
PF14717	Domain of unknown function (DUF4465)	A large family of uncharacterized proteins mostly from  human gut bacteroides, but also some environmental  and water bacteria (Planctomycetes) as well as  metagenomic samples Most proteins from this family are secreted or  located on the outer surface and may participate  in cell-cell interactions or cell-nutrient interactions This function is supported by a solved structure of a Bacteroides ovatus homolog, which adapts a galactose binding (jelly-roll) beta barrel structure	PFAM
PF21294	Polysaccharide lyase 14	This protein family includes Alginate lyase from the mollusc Aplysia kurodai (AkAly30) and similar proteins from prokaryotes, eukaryotes and some viral species. AkAly30 degrades alginate by cleaving the glycosidic bond through a beta-elimination reaction. This enzyme adopts a beta-jelly roll fold comprising two antiparallel beta- sheets. Some beta strands of the first sheet twist to form an electropositive-rich cavity where the substrates are believed to be located [1-3].	PFAM
PF22446	Head N-terminal domain	This entry represents a compact jelly-roll beta-sandwich domain (head domain) of the polysaccharide receptor-binding protein from  Lactococcus phage 1358 [[cite:PUB00154031]].	PFAM
IPR032398	Infectious hypodermal and haematopoietic necrosis virus, capsid protein	This entry represents the single capsid protein of infectious hypodermal and haematopoietic necrosis virus (IHHNV), found particularly in shrimp densovirus. Densoviruses are a subfamily of the parvoviruses.  The capsid protein has an eight-stranded anti-parallel β-barrel 'jelly roll' motif similar to that found in many icosahedral viruses, including other parvoviruses. The N-terminal portion of the IHHNV coat protein adopts a 'domain-swappe' conformation relative to its twofold-related neighbour.  The loops connecting the strands of the structurally conserved jelly roll motif differ considerably in structure and length from those of other parvoviruses. IHHNV was first reported as a highly lethal disease of juvenile shrimp in 1983, and has only one type of capsid protein that lacks the phospholipase A2 activity that has been implicated as a requirement during parvoviral host cell infection. The structure of recombinant virus-like particles, composed of 60 copies of the 37.5kDa coat protein is the smallest parvoviral capsid protein reported thus far. The small size of the PstDNV capsid protein makes the system attractive as a model for studying assembly mechanisms of icosahedral virus capsids [[cite:PUB00076301]].	INTERPRO
PF22031	Major capsid protein V20 C-terminal domain	This is the C-terminal domain of major capsid protein V20. This domain folds into a beta-sandwich with a jelly-roll topology [[cite:PUB00151820]].	PFAM
PF02837	Glycosyl hydrolases family 2, sugar binding domain	This family contains beta-galactosidase, beta-mannosidase and beta-glucuronidase activities and has a jelly-roll fold. The domain binds the sugar moiety during the sugar-hydrolysis reaction.	PFAM
IPR027828	Protein of unknown function DUF4465	This entry represents a large family of uncharacterised proteins mostly from human gut bacteroides, but also some environmental and water bacteria (Planctomycetes), as well as metagenomic samples. Most proteins from this family are secreted or located on the outer surface, and may participate in cell-cell interactions or cell-nutrient interactions. This function is supported by a solved structure of a Bacteroides ovatus homologue, which adopts a galactose binding (jelly-roll) β barrel structure.	INTERPRO
PF16024	Domain of unknown function (DUF4785) N-terminal domain	This family of proteins is found in bacteria. Proteins in this family are typically between 392 and 442 amino acids in length. This entry represents the N-terminal jelly roll domain.	PFAM
PF21615	Carbohydrate binding module-like	This domain is found in a a group of bacterial proteins, including the uncharacterised Fibronectin type-III domain-containing protein from Agathobacter rectalis (Swiss:C4ZEB7). It adopts a jelly roll structure.	PFAM
IPR048759	Carbohydrate binding module-like	This domain is found in a a group of bacterial proteins, including the uncharacterised Fibronectin type-III domain-containing protein from Agathobacter rectalis ([swissprot:C4ZEB7]). It adopts a jelly-roll structure.	INTERPRO
PF22633	NedA-like, galactose-binding domain	This galactose-binding domain is found in Sialidase from Micromonospora viridifaciens (NedA), which releases sialic acids for use as carbon and energy sources. This domain shows a jelly-roll topology [[cite:PUB00014146]].	PFAM
IPR031979	DUF4785, N-terminal domain	This entry represents the N-terminal jelly roll domain found in a group of proteins mainly from proteobacteria. Proteins in this family are typically between 392 and 442 amino acids in length.	INTERPRO
PF01238	Phosphomannose isomerase type I C-terminal	This is the C-terminal domain of Phosphomannose isomerase type I enzymes (EC 5.3.1.8), which contains antiparallel beta-strands in an extended jelly roll topology with short loops connecting the strands [[cite:PUB00003929]].	PFAM
